film_oscar_award_id,year,film_id,oscar_award_type_id,oscar_award_category_id
3958,1976,1561,2,13
3959,1976,1562,2,7
3960,1976,1562,2,15
3961,1976,1562,1,16
3962,1976,1563,2,5
3963,1976,1563,2,7
3964,1976,1563,1,16
3965,1976,1564,2,2
3966,1976,1565,1,1
3967,1976,1565,2,2
3968,1976,1565,1,3
3969,1976,1565,1,4
3970,1976,1565,2,6
3971,1976,1565,2,7
3972,1976,1565,2,9
3973,1976,1565,2,10
3974,1976,1565,1,17
3975,1976,1566,2,12
3976,1976,1567,2,1
3977,1976,1567,2,2
3978,1976,1567,2,3
3979,1976,1567,1,6
3980,1976,1567,1,9
3981,1976,1567,1,10
3982,1976,1567,2,13
3983,1976,1567,2,15
3984,1976,1567,2,17
3985,1976,1568,2,1
3986,1976,1568,2,9
3987,1976,1568,2,17
3988,1976,1569,2,15
3989,1976,1570,2,1
3990,1976,1570,2,4
3991,1976,1570,2,6
3992,1976,1570,2,12
3993,1976,1571,2,17
3994,1976,1572,2,5
3995,1976,1572,2,8
3996,1976,1573,2,5
3997,1976,1574,1,12
3998,1976,1574,2,13
3999,1976,1575,2,12
4000,1976,1576,2,8
4001,1976,1577,2,13
4002,1976,1578,2,8
4003,1976,1578,2,17
4004,1976,1579,2,5
4005,1976,1580,2,10
4006,1976,1581,2,4
4007,1976,1581,2,12
4008,1976,1581,2,17
4009,1977,1582,2,8
4010,1977,1582,1,12
4011,1977,1583,2,1
4012,1977,1584,2,5
4013,1977,1584,2,8
4014,1977,1585,2,1
4015,1977,1585,1,3
4016,1977,1585,1,6
4017,1977,1585,1,9
4018,1977,1585,1,17
4019,1977,1586,2,4
4020,1977,1586,2,5
4021,1977,1586,1,7
4022,1977,1586,2,9
4023,1977,1586,2,10
4024,1977,1586,2,12
4025,1977,1586,1,14
4026,1977,1586,2,15
4027,1977,1586,2,16
4028,1977,1587,2,1
4029,1977,1587,2,2
4030,1977,1587,2,17
4031,1977,1588,2,17
4032,1977,1589,2,7
4033,1977,1590,1,2
4034,1977,1590,2,3
4035,1977,1590,1,4
4036,1977,1590,2,6
4037,1977,1590,2,7
4038,1977,1590,2,8
4039,1977,1590,2,9
4040,1977,1590,2,10
4041,1977,1590,2,12
4042,1977,1590,1,17
4043,1977,1591,2,4
4044,1977,1591,2,7
4045,1977,1592,2,12
4046,1977,1593,2,17
4047,1977,1594,2,12
4048,1977,1594,2,13
4049,1977,1595,2,1
4050,1977,1596,2,10
4051,1977,1597,2,15
4052,1977,1598,2,2
4053,1977,1598,1,5
4054,1977,1598,2,6
4055,1977,1598,1,8
4056,1977,1598,2,9
4057,1977,1598,1,10
4058,1977,1598,1,12
4059,1977,1598,1,15
4060,1977,1598,1,16
4061,1977,1598,2,17
4062,1977,1599,2,17
4063,1977,1600,2,15
4064,1977,1601,1,1
4065,1977,1601,2,3
4066,1977,1601,2,4
4067,1977,1601,2,6
4068,1977,1601,2,17
4069,1977,1602,2,17
4070,1977,1603,2,8
4071,1977,1604,2,13
4072,1977,1605,2,12
4073,1977,1605,2,13
4074,1977,1606,2,5
4075,1977,1606,2,12
4076,1977,1606,2,13
4077,1977,1607,2,2
4078,1977,1607,2,3
4079,1977,1607,2,4
4080,1977,1607,2,5
4081,1977,1607,2,6
4082,1977,1607,2,7
4083,1977,1607,2,9
4084,1977,1607,2,10
4085,1977,1607,2,15
4086,1977,1607,2,17
4087,1977,1608,1,13
4088,1978,1609,2,3
4089,1978,1609,2,6
4090,1978,1609,2,17
4091,1978,1610,2,3
4092,1978,1610,2,17
4093,1978,1611,2,17
4094,1978,1612,1,4
4095,1978,1612,2,5
4096,1978,1612,2,17
4097,1978,1613,2,8
4098,1978,1614,2,2
4099,1978,1615,1,1
4100,1978,1615,2,2
4101,1978,1615,1,3
4102,1978,1615,2,4
4103,1978,1615,2,6
4104,1978,1615,2,9
4105,1978,1615,2,10
4106,1978,1615,1,17
4107,1978,1616,1,7
4108,1978,1616,2,8
4109,1978,1616,2,12
4110,1978,1616,2,15
4111,1978,1617,1,8
4112,1978,1618,2,13
4113,1978,1619,2,13
4114,1978,1620,2,1
4115,1978,1620,2,2
4116,1978,1620,2,4
4117,1978,1620,1,5
4118,1978,1620,2,6
4119,1978,1620,2,7
4120,1978,1620,2,9
4121,1978,1620,2,12
4122,1978,1620,2,17
4123,1978,1621,2,15
4124,1978,1622,2,3
4125,1978,1622,2,4
4126,1978,1622,2,5
4127,1978,1622,2,9
4128,1978,1622,2,17
4129,1978,1623,2,2
4130,1978,1623,2,6
4131,1978,1623,2,9
4132,1978,1623,2,10
4133,1978,1623,1,12
4134,1978,1623,1,17
4135,1978,1624,2,12
4136,1978,1625,2,3
4137,1978,1625,2,7
4138,1978,1625,2,13
4139,1978,1625,2,17
4140,1978,1626,2,10
4141,1978,1626,2,12
4142,1978,1626,2,15
4143,1978,1626,1,16
4144,1978,1627,1,13
4145,1978,1628,2,1
4146,1978,1628,2,10
4147,1978,1628,2,12
4148,1978,1629,2,5
4149,1978,1630,2,1
4150,1978,1630,1,12
4151,1978,1630,2,15
4152,1978,1631,2,1
4153,1978,1631,1,2
4154,1978,1631,2,4
4155,1978,1631,1,6
4156,1978,1631,2,7
4157,1978,1631,1,9
4158,1978,1631,1,10
4159,1978,1631,1,15
4160,1978,1631,2,17
4161,1978,1632,2,13
4162,1978,1633,2,8
4163,1978,1634,2,5
4164,1978,1634,2,7
4165,1978,1634,2,8
4166,1978,1634,2,12
4167,1979,1635,2,1
4168,1979,1635,2,17
4169,1979,1636,2,12
4170,1979,1636,2,13
4171,1979,1637,2,7
4172,1979,1637,2,15
4173,1979,1637,2,16
4174,1979,1638,1,12
4175,1979,1638,2,17
4176,1979,1639,2,8
4177,1979,1640,2,5
4178,1979,1640,1,16
4179,1979,1641,2,1
4180,1979,1641,1,5
4181,1979,1641,2,6
4182,1979,1641,2,7
4183,1979,1641,1,8
4184,1979,1641,2,9
4185,1979,1641,1,10
4186,1979,1641,1,12
4187,1979,1641,2,17
4188,1979,1642,2,2
4189,1979,1642,2,5
4190,1979,1642,2,6
4191,1979,1642,1,7
4192,1979,1642,2,9
4193,1979,1642,2,10
4194,1979,1642,1,15
4195,1979,1642,2,17
4196,1979,1643,2,1
4197,1979,1643,1,2
4198,1979,1644,2,4
4199,1979,1644,2,6
4200,1979,1644,2,9
4201,1979,1644,2,12
4202,1979,1644,1,17
4203,1979,1645,2,8
4204,1979,1646,2,3
4205,1979,1647,2,13
4206,1979,1648,1,1
4207,1979,1648,2,2
4208,1979,1648,1,4
4209,1979,1648,1,6
4210,1979,1648,2,7
4211,1979,1648,1,9
4212,1979,1648,2,10
4213,1979,1648,1,17
4214,1979,1649,2,8
4215,1979,1649,2,9
4216,1979,1649,2,17
4217,1979,1650,2,4
4218,1979,1650,2,17
4219,1979,1651,2,15
4220,1979,1652,2,16
4221,1979,1653,1,3
4222,1979,1653,2,6
4223,1979,1653,1,13
4224,1979,1653,2,17
4225,1979,1654,2,5
4226,1979,1654,2,12
4227,1979,1654,2,16
4228,1979,1655,2,3
4229,1979,1655,2,4
4230,1979,1656,2,12
4231,1979,1657,2,7
4232,1979,1657,2,16
4233,1979,1658,2,2
4234,1979,1658,2,10
4235,1979,1658,1,14
4236,1979,1659,2,12
